"id"	"time.start"	"time.end"	"variable"	"file.name"
"nhd_10596502"	"1970-01-01"	"2069-12-31"	"airtemp"	"CM2.0_nhd_10596502_19700101.20691231_airtemp.RData"
"nhd_10596502"	"1970-01-01"	"2069-12-31"	"dlwrfsfc"	"CM2.0_nhd_10596502_19700101.20691231_dlwrfsfc.RData"
"nhd_10596502"	"1970-01-01"	"2069-12-31"	"dswrfsfc"	"CM2.0_nhd_10596502_19700101.20691231_dswrfsfc.RData"
"nhd_10596502"	"1970-01-01"	"2069-12-31"	"precip"	"CM2.0_nhd_10596502_19700101.20691231_precip.RData"
"nhd_10596502"	"1970-01-01"	"2069-12-31"	"pressfc"	"CM2.0_nhd_10596502_19700101.20691231_pressfc.RData"
"nhd_10596502"	"1970-01-01"	"2069-12-31"	"relhum"	"CM2.0_nhd_10596502_19700101.20691231_relhum.RData"
"nhd_10596502"	"1970-01-01"	"2069-12-31"	"ugrd10m"	"CM2.0_nhd_10596502_19700101.20691231_ugrd10m.RData"
"nhd_10596502"	"1970-01-01"	"2069-12-31"	"vgrd10m"	"CM2.0_nhd_10596502_19700101.20691231_vgrd10m.RData"
"nhd_10596552"	"1970-01-01"	"2069-12-31"	"airtemp"	"CM2.0_nhd_10596552_19700101.20691231_airtemp.RData"
"nhd_10596552"	"1970-01-01"	"2069-12-31"	"dlwrfsfc"	"CM2.0_nhd_10596552_19700101.20691231_dlwrfsfc.RData"
"nhd_10596552"	"1970-01-01"	"2069-12-31"	"dswrfsfc"	"CM2.0_nhd_10596552_19700101.20691231_dswrfsfc.RData"
"nhd_10596552"	"1970-01-01"	"2069-12-31"	"precip"	"CM2.0_nhd_10596552_19700101.20691231_precip.RData"
"nhd_10596552"	"1970-01-01"	"2069-12-31"	"pressfc"	"CM2.0_nhd_10596552_19700101.20691231_pressfc.RData"
"nhd_10596552"	"1970-01-01"	"2069-12-31"	"relhum"	"CM2.0_nhd_10596552_19700101.20691231_relhum.RData"
"nhd_10596552"	"1970-01-01"	"2069-12-31"	"ugrd10m"	"CM2.0_nhd_10596552_19700101.20691231_ugrd10m.RData"
"nhd_10596552"	"1970-01-01"	"2069-12-31"	"vgrd10m"	"CM2.0_nhd_10596552_19700101.20691231_vgrd10m.RData"
"nhd_10597310"	"1970-01-01"	"2069-12-31"	"airtemp"	"CM2.0_nhd_10597310_19700101.20691231_airtemp.RData"
"nhd_10597310"	"1970-01-01"	"2069-12-31"	"dlwrfsfc"	"CM2.0_nhd_10597310_19700101.20691231_dlwrfsfc.RData"
"nhd_10597310"	"1970-01-01"	"2069-12-31"	"dswrfsfc"	"CM2.0_nhd_10597310_19700101.20691231_dswrfsfc.RData"
"nhd_10597310"	"1970-01-01"	"2069-12-31"	"precip"	"CM2.0_nhd_10597310_19700101.20691231_precip.RData"
"nhd_10597310"	"1970-01-01"	"2069-12-31"	"pressfc"	"CM2.0_nhd_10597310_19700101.20691231_pressfc.RData"
"nhd_10597310"	"1970-01-01"	"2069-12-31"	"relhum"	"CM2.0_nhd_10597310_19700101.20691231_relhum.RData"
"nhd_10597310"	"1970-01-01"	"2069-12-31"	"ugrd10m"	"CM2.0_nhd_10597310_19700101.20691231_ugrd10m.RData"
"nhd_10597310"	"1970-01-01"	"2069-12-31"	"vgrd10m"	"CM2.0_nhd_10597310_19700101.20691231_vgrd10m.RData"
"nhd_10597314"	"1970-01-01"	"2069-12-31"	"airtemp"	"CM2.0_nhd_10597314_19700101.20691231_airtemp.RData"
"nhd_10597314"	"1970-01-01"	"2069-12-31"	"dlwrfsfc"	"CM2.0_nhd_10597314_19700101.20691231_dlwrfsfc.RData"
"nhd_10597314"	"1970-01-01"	"2069-12-31"	"dswrfsfc"	"CM2.0_nhd_10597314_19700101.20691231_dswrfsfc.RData"
"nhd_10597314"	"1970-01-01"	"2069-12-31"	"precip"	"CM2.0_nhd_10597314_19700101.20691231_precip.RData"
"nhd_10597314"	"1970-01-01"	"2069-12-31"	"pressfc"	"CM2.0_nhd_10597314_19700101.20691231_pressfc.RData"
"nhd_10597314"	"1970-01-01"	"2069-12-31"	"relhum"	"CM2.0_nhd_10597314_19700101.20691231_relhum.RData"
