"OrganizationIdentifier","OrganizationFormalName","ActivityIdentifier","ActivityTypeCode","ActivityMediaName","ActivityMediaSubdivisionName","ActivityStartDate","ActivityStartTime.Time","ActivityStartTime.TimeZoneCode","ActivityEndDate","ActivityEndTime.Time","ActivityEndTime.TimeZoneCode","ActivityDepthHeightMeasure.MeasureValue","ActivityDepthHeightMeasure.MeasureUnitCode","ActivityDepthAltitudeReferencePointText","ActivityTopDepthHeightMeasure.MeasureValue","ActivityTopDepthHeightMeasure.MeasureUnitCode","ActivityBottomDepthHeightMeasure.MeasureValue","ActivityBottomDepthHeightMeasure.MeasureUnitCode","ProjectIdentifier","ActivityConductingOrganizationText","MonitoringLocationIdentifier","ActivityCommentText","SampleAquifer","HydrologicCondition","HydrologicEvent","SampleCollectionMethod.MethodIdentifier","SampleCollectionMethod.MethodIdentifierContext","SampleCollectionMethod.MethodName","SampleCollectionEquipmentName","ResultDetectionConditionText","CharacteristicName","ResultSampleFractionText","ResultMeasureValue","ResultMeasure.MeasureUnitCode","MeasureQualifierCode","ResultStatusIdentifier","StatisticalBaseCode","ResultValueTypeName","ResultWeightBasisText","ResultTimeBasisText","ResultTemperatureBasisText","ResultParticleSizeBasisText","PrecisionValue","ResultCommentText","USGSPCode","ResultDepthHeightMeasure.MeasureValue","ResultDepthHeightMeasure.MeasureUnitCode","ResultDepthAltitudeReferencePointText","SubjectTaxonomicName","SampleTissueAnatomyName","ResultAnalyticalMethod.MethodIdentifier","ResultAnalyticalMethod.MethodIdentifierContext","ResultAnalyticalMethod.MethodName","MethodDescriptionText","LaboratoryName","AnalysisStartDate","ResultLaboratoryCommentText","DetectionQuantitationLimitTypeName","DetectionQuantitationLimitMeasure.MeasureValue","DetectionQuantitationLimitMeasure.MeasureUnitCode","PreparationStartDate","ProviderName","ActivityStartDateTime","ActivityEndDateTime"
"MNPCA","Minnesota Pollution Control Agency","MNPCA-34-0044-00-206.1007251800.I20S","Sample-Routine","Water","Surface Water",2010-07-25,"18:00:00","CDT",NA,NA,NA,NA,NA,NA,0,"m",2,"m","PRJ05768",NA,"MNPCA-34-0044-00-206",NA,NA,NA,NA,"LKSURF2M","MNPCA","Lake surface 2m depth-integrated sampling. Lower a 2-meter-long, 2-inch-diameter PVC pipe vertically into the water, ...","Vinyl Tube",NA,"Temperature, sample","Total",5,"deg C",NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,"Sample condition acceptable",NA,NA,NA,NA,NA,NA,"LAB TEMP","MNPCA","Lab sample temperature",NA,"MN00918",1901-01-01,NA,NA,NA,NA,NA,"STORET",2010-07-25 23:00:00,NA
"MNPCA","Minnesota Pollution Control Agency","MNPCA-34-0079-00-103.1008081530.I20S","Sample-Routine","Water","Surface Water",2010-08-08,"15:30:00","CDT",NA,NA,NA,NA,NA,NA,0,"m",2,"m","PRJ05768",NA,"MNPCA-34-0079-00-103","waves from lots of boat traffic",NA,NA,NA,"LKSURF2M","MNPCA","Lake surface 2m depth-integrated sampling. Lower a 2-meter-long, 2-inch-diameter PVC pipe vertically into the water, ...","Vinyl Tube",NA,"Temperature, sample","Total",2,"deg C",NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,"Sample condition acceptable",NA,NA,NA,NA,NA,NA,"LAB TEMP","MNPCA","Lab sample temperature",NA,"MN00918",1901-01-01,NA,NA,NA,NA,NA,"STORET",2010-08-08 20:30:00,NA
"MNPCA","Minnesota Pollution Control Agency","MNPCA-34-0062-00-201.1005241230.I20S","Sample-Routine","Water","Surface Water",2010-05-24,"12:30:00","CDT",NA,NA,NA,NA,NA,NA,0,"m",2,"m","PRJ05768",NA,"MNPCA-34-0062-00-201",NA,NA,NA,NA,"LKSURF2M","MNPCA","Lake surface 2m depth-integrated sampling. Lower a 2-meter-long, 2-inch-diameter PVC pipe vertically into the water, ...","Vinyl Tube",NA,"Temperature, sample","Total",1.4,"deg C",NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,"Sample condition acceptable",NA,NA,NA,NA,NA,NA,"LAB TEMP","MNPCA","Lab sample temperature",NA,"MN00918",1901-01-01,NA,NA,NA,NA,NA,"STORET",2010-05-24 17:30:00,NA
"MNPCA","Minnesota Pollution Control Agency","MNPCA-34-0158-03-201.1009090945.I20S","Sample-Routine","Water","Surface Water",2010-09-09,"09:45:00","CDT",NA,NA,NA,NA,NA,NA,0,"m",2,"m","PRJ05768",NA,"MNPCA-34-0158-03-201",NA,NA,NA,NA,"LKSURF2M","MNPCA","Lake surface 2m depth-integrated sampling. Lower a 2-meter-long, 2-inch-diameter PVC pipe vertically into the water, ...","Vinyl Tube",NA,"Temperature, sample","Total",1,"deg C",NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,"Sample condition acceptable",NA,NA,NA,NA,NA,NA,"LAB TEMP","MNPCA","Lab sample temperature",NA,"MN00918",1901-01-01,NA,NA,NA,NA,NA,"STORET",2010-09-09 14:45:00,NA
"MNPCA","Minnesota Pollution Control Agency","MNPCA-34-0154-00-205.1007251815.I20S","Sample-Routine","Water","Surface Water",2010-07-25,"18:15:00","CDT",NA,NA,NA,NA,NA,NA,0,"m",2,"m","PRJ05768",NA,"MNPCA-34-0154-00-205",NA,NA,NA,NA,"LKSURF2M","MNPCA","Lake surface 2m depth-integrated sampling. Lower a 2-meter-long, 2-inch-diameter PVC pipe vertically into the water, ...","Vinyl Tube",NA,"Temperature, sample","Total",5,"deg C",NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,"Sample condition acceptable",NA,NA,NA,NA,NA,NA,"LAB TEMP","MNPCA","Lab sample temperature",NA,"MN00918",1901-01-01,NA,NA,NA,NA,NA,"STORET",2010-07-25 23:15:00,NA
"MNPCA","Minnesota Pollution Control Agency","MNPCA-34-0142-00-201.1008231415.I20S","Sample-Routine","Water","Surface Water",2010-08-23,"14:15:00","CDT",NA,NA,NA,NA,NA,NA,0,"m",2,"m","PRJ05768",NA,"MNPCA-34-0142-00-201",NA,NA,NA,NA,"LKSURF2M","MNPCA","Lake surface 2m depth-integrated sampling. Lower a 2-meter-long, 2-inch-diameter PVC pipe vertically into the water, ...","Vinyl Tube",NA,"Temperature, sample","Total",10.9,"deg C",NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,"Does not meet proper sample storage and transportation guidelines: >6.0 C",NA,NA,NA,NA,NA,NA,"LAB TEMP","MNPCA","Lab sample temperature",NA,"MN00918",1901-01-01,NA,NA,NA,NA,NA,"STORET",2010-08-23 19:15:00,NA
"MNPCA","Minnesota Pollution Control Agency","MNPCA-34-0142-00-201.1007111400.I20S","Sample-Routine","Water","Surface Water",2010-07-11,"14:00:00","CDT",NA,NA,NA,NA,NA,NA,0,"m",2,"m","PRJ05768",NA,"MNPCA-34-0142-00-201",NA,NA,NA,NA,"LKSURF2M","MNPCA","Lake surface 2m depth-integrated sampling. Lower a 2-meter-long, 2-inch-diameter PVC pipe vertically into the water, ...","Vinyl Tube",NA,"Temperature, sample","Total",5.3,"deg C",NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,"Sample condition acceptable",NA,NA,NA,NA,NA,NA,"LAB TEMP","MNPCA","Lab sample temperature",NA,"MN00918",1901-01-01,NA,NA,NA,NA,NA,"STORET",2010-07-11 19:00:00,NA
"MNPCA","Minnesota Pollution Control Agency","MNPCA-34-0142-00-201.1009191430.I20S","Sample-Routine","Water","Surface Water",2010-09-19,"14:30:00","CDT",NA,NA,NA,NA,NA,NA,0,"m",2,"m","PRJ05768",NA,"MNPCA-34-0142-00-201",NA,NA,NA,NA,"LKSURF2M","MNPCA","Lake surface 2m depth-integrated sampling. Lower a 2-meter-long, 2-inch-diameter PVC pipe vertically into the water, ...","Vinyl Tube",NA,"Temperature, sample","Total",0.7,"deg C",NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,"Sample condition acceptable",NA,NA,NA,NA,NA,NA,"LAB TEMP","MNPCA","Lab sample temperature",NA,"MN00918",1901-01-01,NA,NA,NA,NA,NA,"STORET",2010-09-19 19:30:00,NA
"MNPCA","Minnesota Pollution Control Agency","MNPCA-34-0066-00-204.1009191630.I20S","Sample-Routine","Water","Surface Water",2010-09-19,"16:30:00","CDT",NA,NA,NA,NA,NA,NA,0,"m",2,"m","PRJ05768",NA,"MNPCA-34-0066-00-204",NA,NA,NA,NA,"LKSURF2M","MNPCA","Lake surface 2m depth-integrated sampling. Lower a 2-meter-long, 2-inch-diameter PVC pipe vertically into the water, ...","Vinyl Tube",NA,"Temperature, sample","Total",0.7,"deg C",NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,"Sample condition acceptable",NA,NA,NA,NA,NA,NA,"LAB TEMP","MNPCA","Lab sample temperature",NA,"MN00918",1901-01-01,NA,NA,NA,NA,NA,"STORET",2010-09-19 21:30:00,NA
"MNPCA","Minnesota Pollution Control Agency","MNPCA-34-0044-00-206.1005311300.I20S","Sample-Routine","Water","Surface Water",2010-05-31,"13:00:00","CDT",NA,NA,NA,NA,NA,NA,0,"m",2,"m","PRJ05768",NA,"MNPCA-34-0044-00-206",NA,NA,NA,NA,"LKSURF2M","MNPCA","Lake surface 2m depth-integrated sampling. Lower a 2-meter-long, 2-inch-diameter PVC pipe vertically into the water, ...","Vinyl Tube",NA,"Temperature, sample","Total",5.5,"deg C",NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,"Sample condition acceptable",NA,NA,NA,NA,NA,NA,"LAB TEMP","MNPCA","Lab sample temperature",NA,"MN00918",1901-01-01,NA,NA,NA,NA,NA,"STORET",2010-05-31 18:00:00,NA
"MNPCA","Minnesota Pollution Control Agency","MNPCA-34-0044-00-206.1009210945.I20S","Sample-Routine","Water","Surface Water",2010-09-21,"09:45:00","CDT",NA,NA,NA,NA,NA,NA,0,"m",2,"m","PRJ05768",NA,"MNPCA-34-0044-00-206",NA,NA,NA,NA,"LKSURF2M","MNPCA","Lake surface 2m depth-integrated sampling. Lower a 2-meter-long, 2-inch-diameter PVC pipe vertically into the water, ...","Vinyl Tube",NA,"Temperature, sample","Total",5.1,"deg C",NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,"Sample condition acceptable",NA,NA,NA,NA,NA,NA,"LAB TEMP","MNPCA","Lab sample temperature",NA,"MN00918",1901-01-01,NA,NA,NA,NA,NA,"STORET",2010-09-21 14:45:00,NA
"MNPCA","Minnesota Pollution Control Agency","MNPCA-34-0142-00-201.1005311530.I20S","Sample-Routine","Water","Surface Water",2010-05-31,"15:30:00","CDT",NA,NA,NA,NA,NA,NA,0,"m",2,"m","PRJ05768",NA,"MNPCA-34-0142-00-201",NA,NA,NA,NA,"LKSURF2M","MNPCA","Lake surface 2m depth-integrated sampling. Lower a 2-meter-long, 2-inch-diameter PVC pipe vertically into the water, ...","Vinyl Tube",NA,"Temperature, sample","Total",5.5,"deg C",NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,"Sample condition acceptable",NA,NA,NA,NA,NA,NA,"LAB TEMP","MNPCA","Lab sample temperature",NA,"MN00918",1901-01-01,NA,NA,NA,NA,NA,"STORET",2010-05-31 20:30:00,NA
"MNPCA","Minnesota Pollution Control Agency","MNPCA-34-0044-00-206.1009210950.I20SR","Quality Control Sample-Field Replicate","Water","Surface Water",2010-09-21,"09:50:00","CDT",NA,NA,NA,NA,NA,NA,0,"m",2,"m","PRJ05768",NA,"MNPCA-34-0044-00-206",NA,NA,NA,NA,"LKSURF2M","MNPCA","Lake surface 2m depth-integrated sampling. Lower a 2-meter-long, 2-inch-diameter PVC pipe vertically into the water, ...","Vinyl Tube",NA,"Temperature, sample","Total",5.1,"deg C",NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,"Sample condition acceptable",NA,NA,NA,NA,NA,NA,"LAB TEMP","MNPCA","Lab sample temperature",NA,"MN00918",1901-01-01,NA,NA,NA,NA,NA,"STORET",2010-09-21 14:50:00,NA
"MNPCA","Minnesota Pollution Control Agency","MNPCA-34-0066-00-204.1005171330.I20SR","Quality Control Sample-Field Replicate","Water","Surface Water",2010-05-17,"13:30:00","CDT",NA,NA,NA,NA,NA,NA,0,"m",2,"m","PRJ05768",NA,"MNPCA-34-0066-00-204",NA,NA,NA,NA,"LKSURF2M","MNPCA","Lake surface 2m depth-integrated sampling. Lower a 2-meter-long, 2-inch-diameter PVC pipe vertically into the water, ...","Vinyl Tube",NA,"Temperature, sample","Total",4.6,"deg C",NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,"Sample condition acceptable",NA,NA,NA,NA,NA,NA,"LAB TEMP","MNPCA","Lab sample temperature",NA,"MN00918",1901-01-01,NA,NA,NA,NA,NA,"STORET",2010-05-17 18:30:00,NA
"MNPCA","Minnesota Pollution Control Agency","MNPCA-34-0142-00-201.1008231420.I20SR","Quality Control Sample-Field Replicate","Water","Surface Water",2010-08-23,"14:20:00","CDT",NA,NA,NA,NA,NA,NA,0,"m",2,"m","PRJ05768",NA,"MNPCA-34-0142-00-201",NA,NA,NA,NA,"LKSURF2M","MNPCA","Lake surface 2m depth-integrated sampling. Lower a 2-meter-long, 2-inch-diameter PVC pipe vertically into the water, ...","Vinyl Tube",NA,"Temperature, sample","Total",10.9,"deg C",NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,"Does not meet proper sample storage and transportation guidelines: >6.0 C",NA,NA,NA,NA,NA,NA,"LAB TEMP","MNPCA","Lab sample temperature",NA,"MN00918",1901-01-01,NA,NA,NA,NA,NA,"STORET",2010-08-23 19:20:00,NA
"MNPCA","Minnesota Pollution Control Agency","MNPCA-34-0158-03-201.1007081015.I20S","Sample-Routine","Water","Surface Water",2010-07-08,"10:15:00","CDT",NA,NA,NA,NA,NA,NA,0,"m",2,"m","PRJ05768",NA,"MNPCA-34-0158-03-201",NA,NA,NA,NA,"LKSURF2M","MNPCA","Lake surface 2m depth-integrated sampling. Lower a 2-meter-long, 2-inch-diameter PVC pipe vertically into the water, ...","Vinyl Tube",NA,"Temperature, sample","Total",2.6,"deg C",NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,"Sample condition acceptable",NA,NA,NA,NA,NA,NA,"LAB TEMP","MNPCA","Lab sample temperature",NA,"MN00918",1901-01-01,NA,NA,NA,NA,NA,"STORET",2010-07-08 15:15:00,NA
"MNPCA","Minnesota Pollution Control Agency","MNPCA-34-0154-00-205.1006131815.I20S","Sample-Routine","Water","Surface Water",2010-06-13,"18:15:00","CDT",NA,NA,NA,NA,NA,NA,0,"m",2,"m","PRJ05768",NA,"MNPCA-34-0154-00-205",NA,NA,NA,NA,"LKSURF2M","MNPCA","Lake surface 2m depth-integrated sampling. Lower a 2-meter-long, 2-inch-diameter PVC pipe vertically into the water, ...","Vinyl Tube",NA,"Temperature, sample","Total",1.8,"deg C",NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,"Sample condition acceptable",NA,NA,NA,NA,NA,NA,"LAB TEMP","MNPCA","Lab sample temperature",NA,"MN00918",1901-01-01,NA,NA,NA,NA,NA,"STORET",2010-06-13 23:15:00,NA
"MNPCA","Minnesota Pollution Control Agency","MNPCA-34-0062-00-201.1009191730.I20S","Sample-Routine","Water","Surface Water",2010-09-19,"17:30:00","CDT",NA,NA,NA,NA,NA,NA,0,"m",2,"m","PRJ05768",NA,"MNPCA-34-0062-00-201",NA,NA,NA,NA,"LKSURF2M","MNPCA","Lake surface 2m depth-integrated sampling. Lower a 2-meter-long, 2-inch-diameter PVC pipe vertically into the water, ...","Vinyl Tube",NA,"Temperature, sample","Total",0.7,"deg C",NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,"Sample condition acceptable",NA,NA,NA,NA,NA,NA,"LAB TEMP","MNPCA","Lab sample temperature",NA,"MN00918",1901-01-01,NA,NA,NA,NA,NA,"STORET",2010-09-19 22:30:00,NA
"MNPCA","Minnesota Pollution Control Agency","MNPCA-34-0154-00-205.1005311415.I20S","Sample-Routine","Water","Surface Water",2010-05-31,"14:15:00","CDT",NA,NA,NA,NA,NA,NA,0,"m",2,"m","PRJ05768",NA,"MNPCA-34-0154-00-205",NA,NA,NA,NA,"LKSURF2M","MNPCA","Lake surface 2m depth-integrated sampling. Lower a 2-meter-long, 2-inch-diameter PVC pipe vertically into the water, ...","Vinyl Tube",NA,"Temperature, sample","Total",5.5,"deg C",NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,"Sample condition acceptable",NA,NA,NA,NA,NA,NA,"LAB TEMP","MNPCA","Lab sample temperature",NA,"MN00918",1901-01-01,NA,NA,NA,NA,NA,"STORET",2010-05-31 19:15:00,NA
"MNPCA","Minnesota Pollution Control Agency","MNPCA-34-0142-00-201.1009061530.I20S","Sample-Routine","Water","Surface Water",2010-09-06,"15:30:00","CDT",NA,NA,NA,NA,NA,NA,0,"m",2,"m","PRJ05768",NA,"MNPCA-34-0142-00-201",NA,NA,NA,NA,"LKSURF2M","MNPCA","Lake surface 2m depth-integrated sampling. Lower a 2-meter-long, 2-inch-diameter PVC pipe vertically into the water, ...","Vinyl Tube",NA,"Temperature, sample","Total",0.6,"deg C",NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,"Sample condition acceptable",NA,NA,NA,NA,NA,NA,"LAB TEMP","MNPCA","Lab sample temperature",NA,"MN00918",1901-01-01,NA,NA,NA,NA,NA,"STORET",2010-09-06 20:30:00,NA
"MNPCA","Minnesota Pollution Control Agency","MNPCA-34-0079-00-103.1005021600.I20S","Sample-Routine","Water","Surface Water",2010-05-02,"16:00:00","CDT",NA,NA,NA,NA,NA,NA,0,"m",2,"m","PRJ05768",NA,"MNPCA-34-0079-00-103",NA,NA,NA,NA,"LKSURF2M","MNPCA","Lake surface 2m depth-integrated sampling. Lower a 2-meter-long, 2-inch-diameter PVC pipe vertically into the water, ...","Vinyl Tube",NA,"Temperature, sample","Total",5.8,"deg C",NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,"Sample condition acceptable",NA,NA,NA,NA,NA,NA,"LAB TEMP","MNPCA","Lab sample temperature",NA,"MN00918",1901-01-01,NA,NA,NA,NA,NA,"STORET",2010-05-02 21:00:00,NA
"MNPCA","Minnesota Pollution Control Agency","MNPCA-34-0119-00-201.1009091015.I20S","Sample-Routine","Water","Surface Water",2010-09-09,"10:15:00","CDT",NA,NA,NA,NA,NA,NA,0,"m",2,"m","PRJ05768",NA,"MNPCA-34-0119-00-201",NA,NA,NA,NA,"LKSURF2M","MNPCA","Lake surface 2m depth-integrated sampling. Lower a 2-meter-long, 2-inch-diameter PVC pipe vertically into the water, ...","Vinyl Tube",NA,"Temperature, sample","Total",1,"deg C",NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,"Sample condition acceptable",NA,NA,NA,NA,NA,NA,"LAB TEMP","MNPCA","Lab sample temperature",NA,"MN00918",1901-01-01,NA,NA,NA,NA,NA,"STORET",2010-09-09 15:15:00,NA
"MNPCA","Minnesota Pollution Control Agency","MNPCA-34-0154-00-205.1005161515.I20S","Sample-Routine","Water","Surface Water",2010-05-16,"15:15:00","CDT",NA,NA,NA,NA,NA,NA,0,"m",2,"m","PRJ05768",NA,"MNPCA-34-0154-00-205",NA,NA,NA,NA,"LKSURF2M","MNPCA","Lake surface 2m depth-integrated sampling. Lower a 2-meter-long, 2-inch-diameter PVC pipe vertically into the water, ...","Vinyl Tube",NA,"Temperature, sample","Total",7.7,"deg C",NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,"Sample condition acceptable",NA,NA,NA,NA,NA,NA,"LAB TEMP","MNPCA","Lab sample temperature",NA,"MN00918",1901-01-01,NA,NA,NA,NA,NA,"STORET",2010-05-16 20:15:00,NA
"MNPCA","Minnesota Pollution Control Agency","MNPCA-34-0079-00-103.1005171130.I20S","Sample-Routine","Water","Surface Water",2010-05-17,"11:30:00","CDT",NA,NA,NA,NA,NA,NA,0,"m",2,"m","PRJ05768",NA,"MNPCA-34-0079-00-103",NA,NA,NA,NA,"LKSURF2M","MNPCA","Lake surface 2m depth-integrated sampling. Lower a 2-meter-long, 2-inch-diameter PVC pipe vertically into the water, ...","Vinyl Tube",NA,"Temperature, sample","Total",4.6,"deg C",NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,"Sample condition acceptable",NA,NA,NA,NA,NA,NA,"LAB TEMP","MNPCA","Lab sample temperature",NA,"MN00918",1901-01-01,NA,NA,NA,NA,NA,"STORET",2010-05-17 16:30:00,NA
"MNPCA","Minnesota Pollution Control Agency","MNPCA-34-0044-00-206.1007111800.I20S","Sample-Routine","Water","Surface Water",2010-07-11,"18:00:00","CDT",NA,NA,NA,NA,NA,NA,0,"m",2,"m","PRJ05768",NA,"MNPCA-34-0044-00-206",NA,NA,NA,NA,"LKSURF2M","MNPCA","Lake surface 2m depth-integrated sampling. Lower a 2-meter-long, 2-inch-diameter PVC pipe vertically into the water, ...","Vinyl Tube",NA,"Temperature, sample","Total",5.3,"deg C",NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,"Sample condition acceptable",NA,NA,NA,NA,NA,NA,"LAB TEMP","MNPCA","Lab sample temperature",NA,"MN00918",1901-01-01,NA,NA,NA,NA,NA,"STORET",2010-07-11 23:00:00,NA
"MNPCA","Minnesota Pollution Control Agency","MNPCA-34-0154-00-205.1008101645.I20S","Sample-Routine","Water","Surface Water",2010-08-10,"16:45:00","CDT",NA,NA,NA,NA,NA,NA,0,"m",2,"m","PRJ05768",NA,"MNPCA-34-0154-00-205",NA,NA,NA,NA,"LKSURF2M","MNPCA","Lake surface 2m depth-integrated sampling. Lower a 2-meter-long, 2-inch-diameter PVC pipe vertically into the water, ...","Vinyl Tube",NA,"Temperature, sample","Total",2,"deg C",NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,"Sample condition acceptable",NA,NA,NA,NA,NA,NA,"LAB TEMP","MNPCA","Lab sample temperature",NA,"MN00918",1901-01-01,NA,NA,NA,NA,NA,"STORET",2010-08-10 21:45:00,NA
"MNPCA","Minnesota Pollution Control Agency","MNPCA-34-0119-00-201.1008050935.I20SR","Quality Control Sample-Field Replicate","Water","Surface Water",2010-08-05,"09:35:00","CDT",NA,NA,NA,NA,NA,NA,0,"m",2,"m","PRJ05768",NA,"MNPCA-34-0119-00-201",NA,NA,NA,NA,"LKSURF2M","MNPCA","Lake surface 2m depth-integrated sampling. Lower a 2-meter-long, 2-inch-diameter PVC pipe vertically into the water, ...","Vinyl Tube",NA,"Temperature, sample","Total",8.5,"deg C",NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,"Does not meet proper sample storage and transportation guidelines: >6.0 C",NA,NA,NA,NA,NA,NA,"LAB TEMP","MNPCA","Lab sample temperature",NA,"MN00918",1901-01-01,NA,NA,NA,NA,NA,"STORET",2010-08-05 14:35:00,NA
"MNPCA","Minnesota Pollution Control Agency","MNPCA-34-0066-00-204.1005311700.I20S","Sample-Routine","Water","Surface Water",2010-05-31,"17:00:00","CDT",NA,NA,NA,NA,NA,NA,0,"m",2,"m","PRJ05768",NA,"MNPCA-34-0066-00-204",NA,NA,NA,NA,"LKSURF2M","MNPCA","Lake surface 2m depth-integrated sampling. Lower a 2-meter-long, 2-inch-diameter PVC pipe vertically into the water, ...","Vinyl Tube",NA,"Temperature, sample","Total",5.5,"deg C",NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,"Sample condition acceptable",NA,NA,NA,NA,NA,NA,"LAB TEMP","MNPCA","Lab sample temperature",NA,"MN00918",1901-01-01,NA,NA,NA,NA,NA,"STORET",2010-05-31 22:00:00,NA
"MNPCA","Minnesota Pollution Control Agency","MNPCA-34-0062-00-201.1009071930.I20S","Sample-Routine","Water","Surface Water",2010-09-07,"19:30:00","CDT",NA,NA,NA,NA,NA,NA,0,"m",2,"m","PRJ05768",NA,"MNPCA-34-0062-00-201",NA,NA,NA,NA,"LKSURF2M","MNPCA","Lake surface 2m depth-integrated sampling. Lower a 2-meter-long, 2-inch-diameter PVC pipe vertically into the water, ...","Vinyl Tube",NA,"Temperature, sample","Total",5.5,"deg C",NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,"Sample condition acceptable",NA,NA,NA,NA,NA,NA,"LAB TEMP","MNPCA","Lab sample temperature",NA,"MN00918",1901-01-01,NA,NA,NA,NA,NA,"STORET",2010-09-08 00:30:00,NA
"MNPCA","Minnesota Pollution Control Agency","MNPCA-34-0142-00-201.1005030730.I20S","Sample-Routine","Water","Surface Water",2010-05-03,"07:30:00","CDT",NA,NA,NA,NA,NA,NA,0,"m",2,"m","PRJ05768",NA,"MNPCA-34-0142-00-201",NA,NA,NA,NA,"LKSURF2M","MNPCA","Lake surface 2m depth-integrated sampling. Lower a 2-meter-long, 2-inch-diameter PVC pipe vertically into the water, ...","Vinyl Tube",NA,"Temperature, sample","Total",5.8,"deg C",NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,"Sample condition acceptable",NA,NA,NA,NA,NA,NA,"LAB TEMP","MNPCA","Lab sample temperature",NA,"MN00918",1901-01-01,NA,NA,NA,NA,NA,"STORET",2010-05-03 12:30:00,NA
"MNPCA","Minnesota Pollution Control Agency","MNPCA-34-0044-00-206.1005171100.I20S","Sample-Routine","Water","Surface Water",2010-05-17,"11:00:00","CDT",NA,NA,NA,NA,NA,NA,0,"m",2,"m","PRJ05768",NA,"MNPCA-34-0044-00-206",NA,NA,NA,NA,"LKSURF2M","MNPCA","Lake surface 2m depth-integrated sampling. Lower a 2-meter-long, 2-inch-diameter PVC pipe vertically into the water, ...","Vinyl Tube",NA,"Temperature, sample","Total",4.6,"deg C",NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,"Sample condition acceptable",NA,NA,NA,NA,NA,NA,"LAB TEMP","MNPCA","Lab sample temperature",NA,"MN00918",1901-01-01,NA,NA,NA,NA,NA,"STORET",2010-05-17 16:00:00,NA
"MNPCA","Minnesota Pollution Control Agency","MNPCA-34-0158-03-201.1005060905.I20SR","Quality Control Sample-Field Replicate","Water","Surface Water",2010-05-06,"09:05:00","CDT",NA,NA,NA,NA,NA,NA,0,"m",2,"m","PRJ05768",NA,"MNPCA-34-0158-03-201",NA,NA,NA,NA,"LKSURF2M","MNPCA","Lake surface 2m depth-integrated sampling. Lower a 2-meter-long, 2-inch-diameter PVC pipe vertically into the water, ...","Vinyl Tube",NA,"Temperature, sample","Total",4.7,"deg C",NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,"Sample condition acceptable",NA,NA,NA,NA,NA,NA,"LAB TEMP","MNPCA","Lab sample temperature",NA,"MN00918",1901-01-01,NA,NA,NA,NA,NA,"STORET",2010-05-06 14:05:00,NA
"MNPCA","Minnesota Pollution Control Agency","MNPCA-34-0142-00-201.1007251600.I20S","Sample-Routine","Water","Surface Water",2010-07-25,"16:00:00","CDT",NA,NA,NA,NA,NA,NA,0,"m",2,"m","PRJ05768",NA,"MNPCA-34-0142-00-201",NA,NA,NA,NA,"LKSURF2M","MNPCA","Lake surface 2m depth-integrated sampling. Lower a 2-meter-long, 2-inch-diameter PVC pipe vertically into the water, ...","Vinyl Tube",NA,"Temperature, sample","Total",5,"deg C",NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,"Sample condition acceptable",NA,NA,NA,NA,NA,NA,"LAB TEMP","MNPCA","Lab sample temperature",NA,"MN00918",1901-01-01,NA,NA,NA,NA,NA,"STORET",2010-07-25 21:00:00,NA
